row_id,image_path_flat,image_path,attribute,caption_raw,caption_norm,panelist,session_date,year_folder,session_num,bimester,view,panel_slot,panel_replicate,dairy_id,product_code
12045,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Texture,"pastoso, non molto solubile","pastoso, non molto solubile",TG_13,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12046,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Texture,"morbido, pastoso, 'gommoso'","morbido, pastoso, 'gommoso",TG_14,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12048,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Texture,"medio-bassa durezza, bella solubilità, leggermente asciutto e pochi cristalli (medi)","medio-bassa durezza, bella solubilità, leggermente asciutto e pochi cristalli (medi)",TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12049,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Texture,molti cristalli,molti cristalli,TG_26,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12050,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Spessore della Crosta,Dispari sfumata 11mm,Dispari sfumata 11mm,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12055,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Spessore della Crosta,"Crosta molto fine sui piatti, più spessa sugli scalzi. Unghia marcata","Crosta molto fine sui piatti, più spessa sugli scalzi. Unghia marcata",TG_13,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12057,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Spessore della Crosta,8 più marcato sotto un piatto,8 più marcato sotto un piatto,TG_19,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12058,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Spessore della Crosta,Medio..,Medio..,TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12060,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Struttura della Pasta,Microocchiatura  Circa meta forma stirata  Non omogenea non regolare,Microocchiatura Circa meta forma stirata Non omogenea non regolare,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12061,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Struttura della Pasta,Microocchiatura 1 o 2 mm molto fitta è grana stirata in parte,Microocchiatura 1 o 2 mm molto fitta è grana stirata in parte,Q_09,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12062,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Struttura della Pasta,"Microocchitura, anche grossa, in ampia area. Struttura non omogenea: al centro non definita","Microocchitura, anche grossa, in ampia area. Struttura non omogenea: al centro non definita",TG_04,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12064,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Struttura della Pasta,Frattura regolare ma occhiatura importante diffusa,Frattura regolare ma occhiatura importante diffusa,TG_11,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12065,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Struttura della Pasta,"Struttura non omogenea, in parte stirata con occhiatura piccola e media. Al centro aspetto spugnoso.","Struttura non omogenea, in parte stirata con occhiatura piccola e media. Al centro aspetto spugnoso.",TG_13,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12066,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Struttura della Pasta,"Frattura abbastanza regolare  ma struttura stirata e compatta , microocchitura diffusa a tutta la superficie, con diametro anche sul. 2 mm.","Frattura abbastanza regolare ma struttura stirata e compatta , microocchitura diffusa a tutta la superficie, con diametro anche sul. 2 mm.",TG_14,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12067,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Struttura della Pasta,"Quasi stirata, Microocchiatura diffusa","Quasi stirata, Microocchiatura diffusa",TG_19,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12068,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Struttura della Pasta,"Microocchiatura presente anche da 5 mm, grana media e fine, frattura scomposta","Microocchiatura presente anche da 5 mm, grana media e fine, frattura scomposta",TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12069,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Struttura della Pasta,Grana poco formata grandi occhiature,Grana poco formata grandi occhiature,TG_26,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12070,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Colore della Pasta,Carico verso il centro,Carico verso il centro,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12071,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Colore della Pasta,Zona più chiara sotto un piatto e  chiazza o rosa,Zona più chiara sotto un piatto e chiazza o rosa,Q_09,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12072,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Colore della Pasta,Più  chiaro ai bordi. 1 macchia rosa?,Più chiaro ai bordi. 1 macchia rosa?,TG_04,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12074,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Colore della Pasta,Giallo uniforme,Giallo uniforme,TG_11,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12075,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Colore della Pasta,Giallo un po' carico con qualche leggera macchia rosa,Giallo un po' carico con qualche leggera macchia rosa,TG_13,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12076,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Colore della Pasta,Giallo molto carico,Giallo molto carico,TG_14,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12077,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Colore della Pasta,"Colore sfumato più scuro verso un piatto, macchia rosa","Colore sfumato più scuro verso un piatto, macchia rosa",TG_19,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12078,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Colore della Pasta,Giallo arancio con zone verdognole,Giallo arancio con zone verdognole,TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12079,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5a_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5a_319_grana.bmp,Colore della Pasta,Abbastanza uniforme tende al carico,Abbastanza uniforme tende al carico,TG_26,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,a,TN_319,C0M
12080,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Profumo,latte e panna forte;fieno forte,latte e panna forte;fieno forte,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12081,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Profumo,cotto e brodo veg,cotto e brodo veg,Q_09,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12082,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Profumo,Intensità media. note lattee tendenti al cotto/maturo,Intensità media. note lattee tendenti al cotto/maturo,TG_04,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12083,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Profumo,acido,acido,TG_05,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12084,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Profumo,crosta di formaggio,crosta di formaggio,TG_11,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12086,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Profumo,"burro fuso, formaggio cotto, leggermete ossidato","burro fuso, formaggio cotto, leggermete ossidato",TG_14,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12087,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Profumo,"All'apertura odore pungente, fermentato, poi crosta di formaggio, cotti intensi, fino al caffè","All'apertura odore pungente, fermentato, poi crosta di formaggio, cotti intensi, fino al caffè",TG_19,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12088,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Profumo,"intenso con note florali, kiwi e panna","intenso con note florali, kiwi e panna",TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12089,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Profumo,animale,animale,TG_26,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12090,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Sapore,gusti equilibrati con dolce forte,gusti equilibrati con dolce forte,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12092,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Sapore,nessuna nota prevalente. poco umami o nulla,nessuna nota prevalente. poco umami o nulla,TG_04,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12093,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Sapore,acido;amaro;,acido;amaro;,TG_05,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12094,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Sapore,"crosta, sa di vecchio","crosta, sa di vecchio",TG_11,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12095,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Sapore,salato e leggermente piccante,salato e leggermente piccante,TG_13,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12096,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Sapore,moltoo salato e con tendenza acida,moltoo salato e con tendenza acida,TG_14,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12098,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Sapore,bello equilibrato e anche note dolciastre piacevoli,bello equilibrato e anche note dolciastre piacevoli,TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12099,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Sapore,salato,salato,TG_26,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12100,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Aroma,frutta secca forte;brodo moderato,frutta secca forte;brodo moderato,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12101,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Aroma,cotto crosta,cotto crosta,Q_09,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12102,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Aroma,povero rispetto a lnaso,povero rispetto a lnaso,TG_04,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12104,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Aroma,"tostato, vecchio","tostato, vecchio",TG_11,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12106,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Aroma,"cotto, leggemrente animale","cotto, leggemrente animale",TG_14,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12107,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Aroma,"accanto ai lattici cotti, anche marcio, putrido","accanto ai lattici cotti, anche marcio, putrido",TG_19,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12108,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Aroma,"burroso, brodo..","burroso, brodo..",TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12109,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Aroma,non da grana difetto,non da grana difetto,TG_26,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12110,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Texture,tirosina solubilita e friabilità moderato,tirosina solubilita e friabilità moderato,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12111,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Texture,asciutto ma pochi cristalli e tende ad impastare,asciutto ma pochi cristalli e tende ad impastare,Q_09,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12112,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Texture,morbido. poco strutturato e friabile. sembra giovane,morbido. poco strutturato e friabile. sembra giovane,TG_04,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12114,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Texture,"molti cristalli, decente microstruttura, abbastanza solubile","molti cristalli, decente microstruttura, abbastanza solubile",TG_11,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12115,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Texture,"pastoso, non molto solubile","pastoso, non molto solubile",TG_13,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12116,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Texture,"morbido, pastoso, 'gommoso'","morbido, pastoso, 'gommoso",TG_14,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12118,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Texture,"medio-bassa durezza, bella solubilità, leggermente asciutto e pochi cristalli (medi)","medio-bassa durezza, bella solubilità, leggermente asciutto e pochi cristalli (medi)",TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12119,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Texture,molti cristalli,molti cristalli,TG_26,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12120,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Spessore della Crosta,Dispari sfumata 11mm,Dispari sfumata 11mm,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12125,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Spessore della Crosta,"Crosta molto fine sui piatti, più spessa sugli scalzi. Unghia marcata","Crosta molto fine sui piatti, più spessa sugli scalzi. Unghia marcata",TG_13,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12127,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Spessore della Crosta,8 più marcato sotto un piatto,8 più marcato sotto un piatto,TG_19,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12128,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Spessore della Crosta,Medio..,Medio..,TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12130,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Struttura della Pasta,Microocchiatura  Circa meta forma stirata  Non omogenea non regolare,Microocchiatura Circa meta forma stirata Non omogenea non regolare,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12131,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Struttura della Pasta,Microocchiatura 1 o 2 mm molto fitta è grana stirata in parte,Microocchiatura 1 o 2 mm molto fitta è grana stirata in parte,Q_09,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12132,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Struttura della Pasta,"Microocchitura, anche grossa, in ampia area. Struttura non omogenea: al centro non definita","Microocchitura, anche grossa, in ampia area. Struttura non omogenea: al centro non definita",TG_04,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12134,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Struttura della Pasta,Frattura regolare ma occhiatura importante diffusa,Frattura regolare ma occhiatura importante diffusa,TG_11,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12135,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Struttura della Pasta,"Struttura non omogenea, in parte stirata con occhiatura piccola e media. Al centro aspetto spugnoso.","Struttura non omogenea, in parte stirata con occhiatura piccola e media. Al centro aspetto spugnoso.",TG_13,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12136,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Struttura della Pasta,"Frattura abbastanza regolare  ma struttura stirata e compatta , microocchitura diffusa a tutta la superficie, con diametro anche sul. 2 mm.","Frattura abbastanza regolare ma struttura stirata e compatta , microocchitura diffusa a tutta la superficie, con diametro anche sul. 2 mm.",TG_14,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12137,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Struttura della Pasta,"Quasi stirata, Microocchiatura diffusa","Quasi stirata, Microocchiatura diffusa",TG_19,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12138,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Struttura della Pasta,"Microocchiatura presente anche da 5 mm, grana media e fine, frattura scomposta","Microocchiatura presente anche da 5 mm, grana media e fine, frattura scomposta",TG_24,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12139,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Struttura della Pasta,Grana poco formata grandi occhiature,Grana poco formata grandi occhiature,TG_26,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12140,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Colore della Pasta,Carico verso il centro,Carico verso il centro,Q_02,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12141,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Colore della Pasta,Zona più chiara sotto un piatto e  chiazza o rosa,Zona più chiara sotto un piatto e chiazza o rosa,Q_09,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12142,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Colore della Pasta,Più  chiaro ai bordi. 1 macchia rosa?,Più chiaro ai bordi. 1 macchia rosa?,TG_04,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12144,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Colore della Pasta,Giallo uniforme,Giallo uniforme,TG_11,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12145,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Colore della Pasta,Giallo un po' carico con qualche leggera macchia rosa,Giallo un po' carico con qualche leggera macchia rosa,TG_13,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
12146,data/images_flat/2018-2019_Trentingrana__2019-03-06__P5b_319_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-03-06/P5b_319_grana.bmp,Colore della Pasta,Giallo molto carico,Giallo molto carico,TG_14,2019-03-06,2018-2019_Trentingrana,24,,Grana,5,b,TN_319,C0M
