row_id,image_path_flat,image_path,attribute,caption_raw,caption_norm,panelist,session_date,year_folder,session_num,bimester,view,panel_slot,panel_replicate,dairy_id,product_code,caption_pre,dedup_key,drop_reason
38176,data/images_flat/2018-2019_Trentingrana__2018-09-26__P3b_306_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-09-26/P3b_306_grana.bmp,Texture,DISCRETA,DISCRETA,TG_15,2018-09-26,2018-2019_Trentingrana,4,,Grana,3,b,TN_306,C0D,DISCRETA,Texture::discreta,PURE_EVAL
44718,data/images_flat/2018-2019_Trentingrana__2018-10-24__P6a_338_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-24/P6a_338_fetta.bmp,Aroma,mah,mah,Q_09,2018-10-24,2018-2019_Trentingrana,8,,Fetta,6,a,TN_338,C0R,mah,Aroma::mah,PURE_EVAL
45054,data/images_flat/2018-2019_Trentingrana__2018-10-24__P6b_338_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-24/P6b_338_fetta.bmp,Aroma,mah,mah,Q_09,2018-10-24,2018-2019_Trentingrana,8,,Fetta,6,b,TN_338,C0R,mah,Aroma::mah,PURE_EVAL
45810,data/images_flat/2018-2019_Trentingrana__2018-10-24__P6a_338_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-24/P6a_338_grana.bmp,Aroma,mah,mah,Q_09,2018-10-24,2018-2019_Trentingrana,8,,Grana,6,a,TN_338,C0R,mah,Aroma::mah,PURE_EVAL
45978,data/images_flat/2018-2019_Trentingrana__2018-10-24__P6b_338_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-10-24/P6b_338_grana.bmp,Aroma,mah,mah,Q_09,2018-10-24,2018-2019_Trentingrana,8,,Grana,6,b,TN_338,C0R,mah,Aroma::mah,PURE_EVAL
46318,data/images_flat/2018-2019_Trentingrana__2018-08-29__P5a_319_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-08-29/P5a_319_fetta.bmp,Aroma,Scarso,Scarso,TG_04,2018-08-29,2018-2019_Trentingrana,1,,Fetta,5,a,TN_319,C0M,Scarso,Aroma::scarso,PURE_EVAL
46402,data/images_flat/2018-2019_Trentingrana__2018-08-29__P5b_319_fetta.bmp,data/TrentinGrana/2018-2019_Trentingrana/2018-08-29/P5b_319_fetta.bmp,Aroma,Scarso,Scarso,TG_04,2018-08-29,2018-2019_Trentingrana,1,,Fetta,5,b,TN_319,C0M,Scarso,Aroma::scarso,PURE_EVAL
49796,data/images_flat/2019-2020_Trentingrana__I bimestre__18-09-2019_3°Seduta__P1b_TN311_Grana.bmp,data/TrentinGrana/2019-2020_Trentingrana/I bimestre/18-09-2019_3°Seduta/P1b_TN311_Grana.bmp,Colore della Pasta,Peccato,Peccato,TG_19,2019-09-18,2019-2020_Trentingrana,3,I,Grana,1,b,TN_311,C0G,Peccato,Colore della Pasta::peccato,PURE_EVAL
49800,data/images_flat/2019-2020_Trentingrana__I bimestre__18-09-2019_3°Seduta__P1a_TN311_Fetta.bmp,data/TrentinGrana/2019-2020_Trentingrana/I bimestre/18-09-2019_3°Seduta/P1a_TN311_Fetta.bmp,Colore della Pasta,Peccato,Peccato,TG_19,2019-09-18,2019-2020_Trentingrana,3,I,Fetta,1,a,TN_311,C0G,Peccato,Colore della Pasta::peccato,PURE_EVAL
49817,data/images_flat/2019-2020_Trentingrana__I bimestre__18-09-2019_3°Seduta__P1b_TN311_Fetta.bmp,data/TrentinGrana/2019-2020_Trentingrana/I bimestre/18-09-2019_3°Seduta/P1b_TN311_Fetta.bmp,Colore della Pasta,Peccato,Peccato,TG_19,2019-09-18,2019-2020_Trentingrana,3,I,Fetta,1,b,TN_311,C0G,Peccato,Colore della Pasta::peccato,PURE_EVAL
49823,data/images_flat/2019-2020_Trentingrana__I bimestre__18-09-2019_3°Seduta__P1a_TN311_Grana.bmp,data/TrentinGrana/2019-2020_Trentingrana/I bimestre/18-09-2019_3°Seduta/P1a_TN311_Grana.bmp,Colore della Pasta,Peccato,Peccato,TG_19,2019-09-18,2019-2020_Trentingrana,3,I,Grana,1,a,TN_311,C0G,Peccato,Colore della Pasta::peccato,PURE_EVAL
51793,data/images_flat/2021-2022_Trentingrana__16° Seduta_09-02-2022__P6B_TN_338_420_FETTA.bmp,data/TrentinGrana/2021-2022_Trentingrana/16° Seduta_09-02-2022/P6B_TN_338_420_FETTA.bmp,Colore della Pasta,ValutazIone alle 13:40,ValutazIone alle 13:40,Q_09,2022-02-09,2021-2022_Trentingrana,16,III,Fetta,6,b,TN_338,C0R,ValutazIone alle 13:40,Colore della Pasta::valutazione alle 13 40,SYSTEM_META
51803,data/images_flat/2021-2022_Trentingrana__16° Seduta_09-02-2022__P6A_TN_338_420_GRANA.bmp,data/TrentinGrana/2021-2022_Trentingrana/16° Seduta_09-02-2022/P6A_TN_338_420_GRANA.bmp,Colore della Pasta,ValutazIone alle 13:40,ValutazIone alle 13:40,Q_09,2022-02-09,2021-2022_Trentingrana,16,III,Grana,6,a,TN_338,C0R,ValutazIone alle 13:40,Colore della Pasta::valutazione alle 13 40,SYSTEM_META
51822,data/images_flat/2021-2022_Trentingrana__16° Seduta_09-02-2022__P6B_TN_338_420_GRANA.bmp,data/TrentinGrana/2021-2022_Trentingrana/16° Seduta_09-02-2022/P6B_TN_338_420_GRANA.bmp,Colore della Pasta,ValutazIone alle 13:40,ValutazIone alle 13:40,Q_09,2022-02-09,2021-2022_Trentingrana,16,III,Grana,6,b,TN_338,C0R,ValutazIone alle 13:40,Colore della Pasta::valutazione alle 13 40,SYSTEM_META
51832,data/images_flat/2021-2022_Trentingrana__16° Seduta_09-02-2022__P6A_TN_338_420_FETTA.bmp,data/TrentinGrana/2021-2022_Trentingrana/16° Seduta_09-02-2022/P6A_TN_338_420_FETTA.bmp,Colore della Pasta,ValutazIone alle 13:40,ValutazIone alle 13:40,Q_09,2022-02-09,2021-2022_Trentingrana,16,III,Fetta,6,a,TN_338,C0R,ValutazIone alle 13:40,Colore della Pasta::valutazione alle 13 40,SYSTEM_META
