image_path,attribute,caption,caption_sentence
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_fetta.bmp,Spessore della Crosta,"Crosta sfumata, irregolare e mediamente spessa.","La crosta del formaggio è sfumata, irregolare e mediamente spessa."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_fetta.bmp,Spessore della Crosta,Crosta con spessore variabile da un lato all'altro.,La crosta del formaggio presenta uno spessore variabile da un lato all'altro.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_fetta.bmp,Spessore della Crosta,Crosta sfumata e molto spessa.,La crosta del formaggio è sfumata e molto spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa con unghia marcata e colore bruno.,La crosta del formaggio è mediamente spessa con unghia marcata e colore bruno.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_fetta.bmp,Spessore della Crosta,"Crosta con spigoli molto pronunciati, in uno con fine occhiatura.","La crosta del formaggio presenta spigoli molto pronunciati, in uno con fine occhiatura."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_grana.bmp,Spessore della Crosta,Crosta sfumata con spessore sottile.,La crosta del formaggio è sfumata con spessore sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_grana.bmp,Spessore della Crosta,Crosta con sottocrosta evidente sotto la parte piatta.,La crosta del formaggio presenta una sottocrosta evidente sotto la parte piatta.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_grana.bmp,Spessore della Crosta,"Crosta sottile, più spessa sulla parte piatta.","La crosta del formaggio è sottile, più spessa sulla parte piatta."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_grana.bmp,Spessore della Crosta,"Crosta con spessore sottile e mediamente spesso, parti piatte irregolari.","La crosta del formaggio presenta uno spessore sottile e mediamente spesso, parti piatte irregolari."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_fetta.bmp,Spessore della Crosta,"Crosta sfumata, irregolare e mediamente spessa.","La crosta del formaggio è sfumata, irregolare e mediamente spessa."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_fetta.bmp,Spessore della Crosta,Crosta con spessore variabile da un lato all'altro.,La crosta del formaggio presenta uno spessore variabile da un lato all'altro.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_fetta.bmp,Spessore della Crosta,Crosta sfumata e molto spessa.,La crosta del formaggio è sfumata e molto spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa con unghia marcata e colore bruno.,La crosta del formaggio è mediamente spessa con unghia marcata e colore bruno.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_fetta.bmp,Spessore della Crosta,"Crosta con spigoli molto pronunciati, in uno con fine occhiatura.","La crosta del formaggio presenta spigoli molto pronunciati, in uno con fine occhiatura."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_grana.bmp,Spessore della Crosta,Crosta sfumata con spessore medio.,La crosta del formaggio è sfumata con spessore medio.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_grana.bmp,Spessore della Crosta,Crosta molto sottile.,La crosta del formaggio è molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_fetta.bmp,Spessore della Crosta,Crosta con sottocrosta sfumata.,La crosta del formaggio presenta una sottocrosta sfumata.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_fetta.bmp,Spessore della Crosta,Crosta sottile con unghia pronunciata sugli spigoli.,La crosta del formaggio è sottile con unghia pronunciata sugli spigoli.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_fetta.bmp,Spessore della Crosta,Crosta con spessore diverso tra le parti piatte e gli scalzi.,La crosta del formaggio presenta uno spessore diverso tra le parti piatte e gli scalzi.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_fetta.bmp,Spessore della Crosta,Crosta abbastanza sottile.,La crosta del formaggio è abbastanza sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_fetta.bmp,Spessore della Crosta,Crosta a tratti molto sottile.,La crosta del formaggio è a tratti molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_fetta.bmp,Spessore della Crosta,"Crosta molto sottile, di colore molto chiaro.","La crosta del formaggio è molto sottile, di colore molto chiaro."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_fetta.bmp,Spessore della Crosta,Crosta molto sottile.,La crosta del formaggio è molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_fetta.bmp,Spessore della Crosta,Crosta a tratti molto sottile.,La crosta del formaggio è a tratti molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_fetta.bmp,Spessore della Crosta,"Crosta molto sottile, di colore molto chiaro.","La crosta del formaggio è molto sottile, di colore molto chiaro."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_fetta.bmp,Spessore della Crosta,Crosta molto sottile.,La crosta del formaggio è molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1b_305_fetta.bmp,Spessore della Crosta,Crosta sfumata con spessore sottile.,La crosta del formaggio è sfumata con spessore sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1b_305_fetta.bmp,Spessore della Crosta,Crosta con sottocrosta evidente sotto la parte piatta.,La crosta del formaggio presenta una sottocrosta evidente sotto la parte piatta.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1b_305_fetta.bmp,Spessore della Crosta,"Crosta sottile, più spessa sulla parte piatta.","La crosta del formaggio è sottile, più spessa sulla parte piatta."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1b_305_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1b_305_fetta.bmp,Spessore della Crosta,"Crosta con spessore sottile e mediamente spesso, parti piatte irregolari.","La crosta del formaggio presenta uno spessore sottile e mediamente spesso, parti piatte irregolari."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1b_305_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_grana.bmp,Spessore della Crosta,"Crosta sfumata, irregolare e mediamente spessa.","La crosta del formaggio è sfumata, irregolare e mediamente spessa."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_grana.bmp,Spessore della Crosta,Crosta con spessore variabile da un lato all'altro.,La crosta del formaggio presenta uno spessore variabile da un lato all'altro.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_grana.bmp,Spessore della Crosta,Crosta sfumata e molto spessa.,La crosta del formaggio è sfumata e molto spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_grana.bmp,Spessore della Crosta,Crosta mediamente spessa con unghia marcata e colore bruno.,La crosta del formaggio è mediamente spessa con unghia marcata e colore bruno.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_grana.bmp,Spessore della Crosta,"Crosta con spigoli molto pronunciati, in uno con fine occhiatura.","La crosta del formaggio presenta spigoli molto pronunciati, in uno con fine occhiatura."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2a_314_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4b_323_fetta.bmp,Spessore della Crosta,Crosta sfumata con spessore medio.,La crosta del formaggio è sfumata con spessore medio.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4b_323_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4b_323_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4b_323_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4b_323_fetta.bmp,Spessore della Crosta,Crosta molto sottile.,La crosta del formaggio è molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3b_319_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3b_319_grana.bmp,Spessore della Crosta,Crosta con sottocrosta sfumata.,La crosta del formaggio presenta una sottocrosta sfumata.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3b_319_grana.bmp,Spessore della Crosta,Crosta sottile con unghia pronunciata sugli spigoli.,La crosta del formaggio è sottile con unghia pronunciata sugli spigoli.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3b_319_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3b_319_grana.bmp,Spessore della Crosta,Crosta con spessore diverso tra le parti piatte e gli scalzi.,La crosta del formaggio presenta uno spessore diverso tra le parti piatte e gli scalzi.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3b_319_grana.bmp,Spessore della Crosta,Crosta abbastanza sottile.,La crosta del formaggio è abbastanza sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_grana.bmp,Spessore della Crosta,Crosta con sottocrosta sfumata.,La crosta del formaggio presenta una sottocrosta sfumata.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_grana.bmp,Spessore della Crosta,Crosta sottile con unghia pronunciata sugli spigoli.,La crosta del formaggio è sottile con unghia pronunciata sugli spigoli.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_grana.bmp,Spessore della Crosta,Crosta con spessore diverso tra le parti piatte e gli scalzi.,La crosta del formaggio presenta uno spessore diverso tra le parti piatte e gli scalzi.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P3a_319_grana.bmp,Spessore della Crosta,Crosta abbastanza sottile.,La crosta del formaggio è abbastanza sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_fetta.bmp,Spessore della Crosta,Crosta sfumata con spessore sottile.,La crosta del formaggio è sfumata con spessore sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_fetta.bmp,Spessore della Crosta,Crosta con sottocrosta evidente sotto la parte piatta.,La crosta del formaggio presenta una sottocrosta evidente sotto la parte piatta.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_fetta.bmp,Spessore della Crosta,"Crosta sottile, più spessa sulla parte piatta.","La crosta del formaggio è sottile, più spessa sulla parte piatta."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_fetta.bmp,Spessore della Crosta,"Crosta con spessore sottile e mediamente spesso, parti piatte irregolari.","La crosta del formaggio presenta uno spessore sottile e mediamente spesso, parti piatte irregolari."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P1a_305_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_fetta.bmp,Spessore della Crosta,Crosta sfumata con spessore medio.,La crosta del formaggio è sfumata con spessore medio.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P4a_323_fetta.bmp,Spessore della Crosta,Crosta molto sottile.,La crosta del formaggio è molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_grana.bmp,Spessore della Crosta,"Crosta sfumata, irregolare e mediamente spessa.","La crosta del formaggio è sfumata, irregolare e mediamente spessa."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_grana.bmp,Spessore della Crosta,Crosta con spessore variabile da un lato all'altro.,La crosta del formaggio presenta uno spessore variabile da un lato all'altro.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_grana.bmp,Spessore della Crosta,Crosta sfumata e molto spessa.,La crosta del formaggio è sfumata e molto spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_grana.bmp,Spessore della Crosta,Crosta mediamente spessa con unghia marcata e colore bruno.,La crosta del formaggio è mediamente spessa con unghia marcata e colore bruno.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_grana.bmp,Spessore della Crosta,"Crosta con spigoli molto pronunciati, in uno con fine occhiatura.","La crosta del formaggio presenta spigoli molto pronunciati, in uno con fine occhiatura."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P2b_314_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_grana.bmp,Spessore della Crosta,Crosta a tratti molto sottile.,La crosta del formaggio è a tratti molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_grana.bmp,Spessore della Crosta,"Crosta molto sottile, di colore molto chiaro.","La crosta del formaggio è molto sottile, di colore molto chiaro."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5b_326_grana.bmp,Spessore della Crosta,Crosta molto sottile.,La crosta del formaggio è molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_grana.bmp,Spessore della Crosta,Crosta a tratti molto sottile.,La crosta del formaggio è a tratti molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_grana.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_grana.bmp,Spessore della Crosta,"Crosta molto sottile, di colore molto chiaro.","La crosta del formaggio è molto sottile, di colore molto chiaro."
data/images_flat/2018-2019_Trentingrana__2019-04-03__P5a_326_grana.bmp,Spessore della Crosta,Crosta molto sottile.,La crosta del formaggio è molto sottile.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2b_306_fetta.bmp,Spessore della Crosta,Crosta dal colore aranciato molto carico.,La crosta del formaggio è di colore aranciato molto carico.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2b_306_fetta.bmp,Spessore della Crosta,Crosta con parte piatta molto spessa e spessore regolare sull'altro lato.,La crosta del formaggio presenta una parte piatta molto spessa e spessore regolare sull'altro lato.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2b_306_fetta.bmp,Spessore della Crosta,Crosta ben marcata.,La crosta del formaggio è ben marcata.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2b_306_fetta.bmp,Spessore della Crosta,Crosta spessa con unghia marcata.,La crosta del formaggio è spessa con unghia marcata.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2b_306_fetta.bmp,Spessore della Crosta,"Crosta mediamente spessa, di colore scuro.","La crosta del formaggio è mediamente spessa, di colore scuro."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2b_306_fetta.bmp,Spessore della Crosta,Crosta con spessore più marcato su un lato.,La crosta del formaggio presenta uno spessore più marcato su un lato.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2b_306_fetta.bmp,Spessore della Crosta,Crosta piuttosto spessa.,La crosta del formaggio è piuttosto spessa.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2b_306_fetta.bmp,Spessore della Crosta,Crosta spessa sulla parte piatta e sugli scalzi.,La crosta del formaggio è spessa sulla parte piatta e sugli scalzi.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2b_306_fetta.bmp,Spessore della Crosta,Crosta con spessore disomogeneo tra le facce e gli scalzi.,La crosta del formaggio presenta uno spessore disomogeneo tra le facce e gli scalzi.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6b_330_grana.bmp,Spessore della Crosta,"Crosta con sottocrosta dal colore carico, più evidente sulla parte piatta.","La crosta del formaggio presenta una sottocrosta dal colore carico, più evidente sulla parte piatta."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6b_330_grana.bmp,Spessore della Crosta,"Crosta sempre mediamente spessa, con parte piatta molto spessa.","La crosta del formaggio è sempre mediamente spessa, con parte piatta molto spessa."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6b_330_grana.bmp,Spessore della Crosta,Crosta mediamente spessa con unghia marcata.,La crosta del formaggio è mediamente spessa con unghia marcata.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6b_330_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6b_330_grana.bmp,Spessore della Crosta,"Crosta spessa, più marcata su una faccia.","La crosta del formaggio è spessa, più marcata su una faccia."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6b_330_grana.bmp,Spessore della Crosta,Crosta con spigoli molto pronunciati.,La crosta del formaggio presenta spigoli molto pronunciati.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6b_330_grana.bmp,Spessore della Crosta,"Crosta piuttosto spessa, soprattutto sugli scalzi.","La crosta del formaggio è piuttosto spessa, soprattutto sugli scalzi."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5a_319_fetta.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5a_319_fetta.bmp,Spessore della Crosta,Crosta sottile con unghia più spessa sulla parte piatta.,La crosta del formaggio è sottile con unghia più spessa sulla parte piatta.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5a_319_fetta.bmp,Spessore della Crosta,Crosta molto spessa su un lato.,La crosta del formaggio è molto spessa su un lato.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5a_319_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5a_319_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5b_319_fetta.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5b_319_fetta.bmp,Spessore della Crosta,Crosta sottile con unghia più spessa sulla parte piatta.,La crosta del formaggio è sottile con unghia più spessa sulla parte piatta.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5b_319_fetta.bmp,Spessore della Crosta,Crosta molto spessa su un lato.,La crosta del formaggio è molto spessa su un lato.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5b_319_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P5b_319_fetta.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6a_330_grana.bmp,Spessore della Crosta,"Crosta con sottocrosta dal colore carico, più evidente sulla parte piatta.","La crosta del formaggio presenta una sottocrosta dal colore carico, più evidente sulla parte piatta."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6a_330_grana.bmp,Spessore della Crosta,"Crosta sempre mediamente spessa, con parte piatta molto spessa.","La crosta del formaggio è sempre mediamente spessa, con parte piatta molto spessa."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6a_330_grana.bmp,Spessore della Crosta,Crosta mediamente spessa con unghia marcata.,La crosta del formaggio è mediamente spessa con unghia marcata.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6a_330_grana.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6a_330_grana.bmp,Spessore della Crosta,"Crosta spessa, più marcata su una faccia.","La crosta del formaggio è spessa, più marcata su una faccia."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6a_330_grana.bmp,Spessore della Crosta,Crosta con spigoli molto pronunciati.,La crosta del formaggio presenta spigoli molto pronunciati.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P6a_330_grana.bmp,Spessore della Crosta,"Crosta piuttosto spessa, soprattutto sugli scalzi.","La crosta del formaggio è piuttosto spessa, soprattutto sugli scalzi."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2a_306_fetta.bmp,Spessore della Crosta,Crosta dal colore aranciato molto carico.,La crosta del formaggio è di colore aranciato molto carico.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2a_306_fetta.bmp,Spessore della Crosta,Crosta con parte piatta molto spessa e spessore regolare sull'altro lato.,La crosta del formaggio presenta una parte piatta molto spessa e spessore regolare sull'altro lato.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2a_306_fetta.bmp,Spessore della Crosta,Crosta ben marcata.,La crosta del formaggio è ben marcata.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2a_306_fetta.bmp,Spessore della Crosta,Crosta spessa con unghia marcata.,La crosta del formaggio è spessa con unghia marcata.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2a_306_fetta.bmp,Spessore della Crosta,"Crosta mediamente spessa, di colore scuro.","La crosta del formaggio è mediamente spessa, di colore scuro."
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2a_306_fetta.bmp,Spessore della Crosta,Crosta con spessore più marcato su un lato.,La crosta del formaggio presenta uno spessore più marcato su un lato.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2a_306_fetta.bmp,Spessore della Crosta,Crosta piuttosto spessa.,La crosta del formaggio è piuttosto spessa.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2a_306_fetta.bmp,Spessore della Crosta,Crosta spessa sulla parte piatta e sugli scalzi.,La crosta del formaggio è spessa sulla parte piatta e sugli scalzi.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P2a_306_fetta.bmp,Spessore della Crosta,Crosta con spessore disomogeneo tra le facce e gli scalzi.,La crosta del formaggio presenta uno spessore disomogeneo tra le facce e gli scalzi.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P3a_307_fetta.bmp,Spessore della Crosta,Crosta con spessore pronunciato sugli scalzi e angoli.,La crosta del formaggio presenta uno spessore pronunciato sugli scalzi e angoli.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P3a_307_fetta.bmp,Spessore della Crosta,Crosta con parti piatte ben definite.,La crosta del formaggio presenta parti piatte ben definite.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P3a_307_fetta.bmp,Spessore della Crosta,Crosta regolare.,La crosta del formaggio è regolare.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P3a_307_fetta.bmp,Spessore della Crosta,Crosta mediamente spessa.,La crosta del formaggio è mediamente spessa.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P3a_307_fetta.bmp,Spessore della Crosta,Crosta abbastanza sottile.,La crosta del formaggio è abbastanza sottile.
data/images_flat/2018-2019_Trentingrana__2019-03-13__P3a_307_fetta.bmp,Spessore della Crosta,Crosta con spessore diverso tra le parti piatte e gli scalzi più sottili.,La crosta del formaggio presenta uno spessore diverso tra le parti piatte e gli scalzi più sottili.
