dedup_key,attribute,caption_pre,frequency,sample_row_id
Aroma::sapone,Aroma,Sapone,28,5046
Aroma::nota di frutta fresca che ricorda l'uva,Aroma,Nota di frutta fresca che ricorda l'uva,4,5047
Struttura della Pasta::leggermente poco regolare,Struttura della Pasta,Leggermente poco regolare....,4,5048
Colore della Pasta::qualche leggerissima macchia rosata nella zona interessata da microocchiatura,Colore della Pasta,Qualche leggerissima macchia rosata nella zona interessata da microocchiatura,4,5049
Profumo::soprattutto all'apertura,Profumo,Soprattutto all'apertura,4,5050
Profumo::peccato per il fondo di bruciato,Profumo,Peccato per il fondo di bruciato,4,5052
Sapore::equilibrio,Sapore,Equilibrio,4,5053
Sapore::umami contenuto prevale tendenza dolce,Sapore,"Umami contenuto, prevale tendenza dolce",4,5054
Struttura della Pasta::la struttura verso gli scalzi è diversa dal centro,Struttura della Pasta,La struttura verso gli scalzi è diversa dal centro,4,5057
Profumo::molto diversi i 4 pezzi e all'apertura,Profumo,Molto diversi i 4 pezzi e all'apertura,4,5067
Profumo::molto buono,Profumo,Molto buono!,4,5068
Sapore::ambivalenza dove amaro,Sapore,Ambivalenza dove:-amaro...,4,5069
Texture::troppo friabile,Texture,Troppo friabile,4,5070
Colore della Pasta::non paglierino appena più satura,Colore della Pasta,Non paglierino. Appena più satura,4,5071
Colore della Pasta::leggerissima macchia rosata,Colore della Pasta,Leggerissima macchia rosata,4,5072
Profumo::al primo olfatto sfumatura non gradevole,Profumo,"Al primo olfatto, sfumatura non gradevole",4,5074
Sapore::acido domina,Sapore,Acido domina,4,5075
Spessore della Crosta::comunque fine,Spessore della Crosta,Comunque fine!,4,5078
Struttura della Pasta::occhio centrale si intravede,Struttura della Pasta,Occhio centrale si intravede,4,5079
Struttura della Pasta::leggere sia striature che microocchiature una frattura,Struttura della Pasta,Leggere sia striature che microocchiature...una frattura,4,5080
Struttura della Pasta::occhio di calore 5 mm in centro circondato da zona spugnosa,Struttura della Pasta,"Occhio di calore 5 mm in centro, circondato da zona spugnosa",4,5081
Struttura della Pasta::un occhio da quasi 1 cm,Struttura della Pasta,Un occhio da quasi 1 cm,4,5082
Colore della Pasta::alone rosato localizzato al centro,Colore della Pasta,Alone rosato localizzato al centro,4,5083
Colore della Pasta::macchia centrale marroncina,Colore della Pasta,Macchia centrale marroncina,4,5084
Colore della Pasta::rosa e nocciola nel centro,Colore della Pasta,Rosa e nocciola nel centro,4,5085
Colore della Pasta::grossa macchia scura in centro irregolare,Colore della Pasta,"Grossa macchia scura in centro, irregolare",4,5086
Sapore::prevale il sale,Sapore,Prevale il sale,4,5118
Sapore::forse un poco' insipido,Sapore,Forse un poco' insipido,4,5119
Aroma::poco complesso prevalente lattico,Aroma,"Poco complesso, prevalente lattico",4,5120
Struttura della Pasta::grande area spagnola centrale,Struttura della Pasta,Grande area spagnola centrale,4,5122
Colore della Pasta::paglierino ai lati giallo chiaro al centro,Colore della Pasta,Paglierino ai lati. Giallo chiaro al centro,4,5123
Profumo::abbastanza intenso,Profumo,Abbastanza intenso,4,5124
Profumo::crosta solo accennata,Profumo,Crosta solo accennata,4,5125
Struttura della Pasta::tante piccole fratture di 1 o 2 cm su tutta la superficie,Struttura della Pasta,Tante piccole fratture di 1 o 2 cm su tutta la superficie,4,5128
Struttura della Pasta::grana anche buona ma piena di tagli,Struttura della Pasta,"Grana anche buona, ma piena di tagli",4,5129
Struttura della Pasta::enorme quantità di fessurazioni,Struttura della Pasta,Enorme quantità di fessurazioni,4,5130
Struttura della Pasta::troppe fessure,Struttura della Pasta,Troppe fessure!,4,5132
Struttura della Pasta::le fessure sono tante da far se veste la forma tagliata su tutta la superficie la grana è grossolana in alcuni punti,Struttura della Pasta,"Le fessure sono tante da far se!veste la forma tagliata su tutta la superficie, la grana è grossolana in alcuni punti",4,5133
Struttura della Pasta::forma troppo ascritta segnalo numerosissime piccole fessure su tutta la superficie,Struttura della Pasta,"Forma troppo ascritta, segnalo numerosissime piccole fessure su tutta la superficie",4,5134
Colore della Pasta::molto troppo carico,Colore della Pasta,Molto troppo carico,4,5135
Profumo::troppa crosta,Profumo,Troppa crosta,4,5270
Profumo::pungente,Profumo,Pungente,4,5271
Sapore::troppo salato,Sapore,Troppo salato,12,5273
Sapore::molto squilibrato,Sapore,Molto squilibrato,8,5274
Texture::sotto i denti no sentito cristalli molto grossi o perle,Texture,Sotto i denti no sentito cristalli molto grossi o perle,4,5276
Profumo::leggera fermentazione,Profumo,Leggera fermentazione,4,5284
Sapore::non sono sicuro di percepire dolcezza,Sapore,Non sono sicuro di percepire dolcezza,4,5285
Sapore::solo leggeri,Sapore,Solo leggeri...,4,5287
Spessore della Crosta::buoni gli angoli,Spessore della Crosta,Buoni gli angoli,4,5291
Spessore della Crosta::chiara,Spessore della Crosta,Chiara,4,5292
Struttura della Pasta::vedo microocchiatura ma in zone molto limitate,Struttura della Pasta,"Vedo microocchiatura, ma in zone molto limitate",4,5293
Struttura della Pasta::prova di grana,Struttura della Pasta,Prova di grana,4,5294
Struttura della Pasta::due piccole aree spagnole in centro con microocchiatura raggruppati nel resto della forma la microocchiatura è più distanziata,Struttura della Pasta,"Due piccole aree spagnole in centro con Microocchiatura raggruppati. Nel resto della forma, la Microocchiatura è più distanziata",4,5295
Colore della Pasta::c'è una fascia non alone centrale appena più sarura,Colore della Pasta,"C'è una fascia, non alone centrale, appena più sarura",4,5296
Sapore::appena percepiti e non sovrastanti,Sapore,Appena percepiti e non sovrastanti,4,5312
Colore della Pasta::solo riflessi verdi,Colore della Pasta,"Solo riflessi verdi,,,,",4,5313
Sapore::appena troppo sale amaro scarno del resto,Sapore,Appena troppo sale. Amaro. Scarno del resto,4,5315
Sapore::molto piccante ma sparisce subito dopo aver ingoiato,Sapore,Molto piccante ma sparisce subito dopo aver ingoiato,4,5316
Struttura della Pasta::grana tipo parmigiano le fatture me la fanno penalizzare altrimenti bella,Struttura della Pasta,Grana tipo parmigiano. Le fatture me la fanno penalizzare. Altrimenti bella,4,5318
Profumo::stalla al primo impatto poi si apre,Profumo,Stalla al primo impatto poi si apre!!!,4,5320
Sapore::non sento dolce amaro e sale spiccano,Sapore,Non sento dolce. Amaro e sale spiccano,4,5321
Sapore::squilibrio,Sapore,Squilibrio..,4,5323
Texture::anche patatoso,Texture,Anche patatoso..,4,5324
Struttura della Pasta::in punti limitati la buona grana sembra meno sviluppata,Struttura della Pasta,In punti limitati la buona grana sembra meno sviluppata,4,5325
Struttura della Pasta::due aree spagnole di circa 2 5 cm,Struttura della Pasta,"Due aree spagnole di circa 2,5 cm",4,5326
Aroma::molto lattico burro fresco,Aroma,"Molto lattico, burro fresco",4,5330
Struttura della Pasta::grande occhio subito sotto la superficie dove era stato tolto un pezzo di pasta,Struttura della Pasta,Grande occhio subito sotto la superficie dove era stato tolto un pezzo di pasta,4,5331
Struttura della Pasta::l'occhio di sauron,Struttura della Pasta,L'occhio di Sauron,4,5332
Struttura della Pasta::enorme cavità al centro,Struttura della Pasta,Enorme cavità al centro,4,5333
Struttura della Pasta::grosso occhio con siero,Struttura della Pasta,Grosso occhio con siero,4,5334
Struttura della Pasta::occhio centrale molto fondo di ca 3 cm con ristagno di siero attorno all'occhio c'è un'ampia zona spugnosa,Struttura della Pasta,Occhio centrale molto fondo di ca 3 cm con ristagno di siero. Attorno all'occhio c'è un'ampia zona spugnosa,4,5335
Struttura della Pasta::grande occhio centrale di circa 4cm,Struttura della Pasta,Grande occhio centrale di circa 4cm,4,5336
Profumo::intenso ma poco caratteristico stantio chiuso catina,Profumo,"intenso ma poco caratteristico, stantio, chiuso, catina",4,5458
Profumo::panna burro lato cotto leggero tostato,Profumo,Panna burro lato cotto leggero tostato,4,5459
Profumo::brodo di carne burro fuso,Profumo,"brodo di carne, burro fuso",4,5460
Profumo::leggero stracci sporchi all'inizio poi panna vegetale,Profumo,leggero stracci sporchi all'inizio poi panna vegetale,4,5461
Profumo::stantio cavolfiore,Profumo,"stantio, cavolfiore",4,5462
Profumo::sentore di cotto tostato,Profumo,"sentore di cotto, tostato",4,5463
Profumo::intensità' moderata sentori lattei burro poca panna tostato crosta,Profumo,"intensità' moderata. sentori lattei, burro, poca panna. tostato. crosta",4,5464
Profumo::all'apertura ododre pungente quasi ammoniacale poi tostati decisi e speziati latte cotto quasi bruciato cacao amaro e caffé,Profumo,"all'apertura ododre pungente, quasi ammoniacale, poi tostati decisi e speziati, latte cotto quasi bruciato, cacao amaro e caffé",4,5465
Profumo::no difetti ma chiuso,Profumo,no difetti ma chiuso,4,5466
Profumo::burro,Profumo,burro,20,5467
Profumo::latte crudo fruttato,Profumo,latte crudo;fruttato,4,5468
Sapore::dolce sapido buon umami piccantezza contenuta,Sapore,"dolce sapido, buon umami, piccantezza contenuta",8,5469
Sapore::equilibrato ma con una nota acida iniziale,Sapore,"equilibrato, ma con una nota acida iniziale",4,5470
Sapore::umami accenutato e leggermete piccante,Sapore,"umami accenutato, e leggermete piccante",4,5471
Sapore::dolce,Sapore,dolce,32,5474
Sapore::non dolce non amaro il resto bene presente poco umami f,Sapore,non dolce. non amaro. il resto bene presente. poco umami. f,4,5475
Sapore::un poco' di acido iniziale poi dolciastro alla fine esce anche un poco' di amaro,Sapore,"un poco' di acido iniziale, poi dolciastro, alla fine esce anche un poco' di amaro",4,5476
Sapore::piccante,Sapore,piccante,98,5477
Sapore::piccante salato,Sapore,piccante;salato;,28,5479
Aroma::nota di sapone di ossidato meno sgradevole che al naso,Aroma,"nota di sapone, di ossidato, meno sgradevole che al naso",4,5480
Aroma::panna burro latte cotto e leggero tostato,Aroma,panna burro latte cotto e leggero tostato,4,5481
Aroma::sentore di brodo di carne e leggemrente di crosta,Aroma,sentore di brodo di carne e leggemrente di crosta,4,5482
Aroma::vegetale balsamico,Aroma,vegetale balsamico,8,5483
Aroma::leggermente stantio,Aroma,leggermente stantio,20,5484
Aroma::formaggio piacevole ma non e' grana,Aroma,formaggio piacevole ma non e' grana,4,5485
Aroma::nocciola tostato caramello scuro tostati decisi brodo di carne,Aroma,"nocciola tostato, caramello scuro, tostati decisi, brodo di carne",4,5487
Aroma::difettoso,Aroma,difettoso,8,5488
Aroma::crosta di formaggio,Aroma,crosta di formaggio,56,5489
Texture::morbida poco granulosa poco solubile buona presenza di microcristalli leggermente adesiva,Texture,"morbida, poco granulosa, poco solubile, buona presenza di microcristalli, leggermente adesiva",4,5491
Texture::in bocca si sciogli bene lasciando granelli percettibili ma piccoli,Texture,"In bocca si sciogli bene, lasciando granelli percettibili, ma piccoli",4,5492
Texture::duro pasta compatta e poco friabile grana molto fine cristalli praticamente assenti solubile,Texture,"duro, pasta compatta e poco friabile, grana molto fine, cristalli praticamente assenti, solubile.",4,5493
Texture::grana abbastanza evidente pastoso con pochi cristalli lascia residuo,Texture,grana abbastanza evidente pastoso con pochi cristalli lascia residuo,4,5494
Texture::poca grana in bocca pastoso,Texture,"poca grana in bocca, pastoso",4,5496
Texture::cristalli presenti ma rari tende al morbido umido comunque discreta friabilità,Texture,"cristalli presenti, ma rari. tende al morbido. umido. comunque discreta friabilità",4,5497
Texture::compatto poco friabile poco granuloso adesivo quasi senza cristalli,Texture,"compatto, poco friabile, poco granuloso, adesivo, quasi senza cristalli",4,5498
Texture::grana assente molto tenero,Texture,grana assente molto tenero,4,5499
Texture::poco umido,Texture,poco umido,4,5500
Spessore della Crosta::0 8 su un lato e o 6 sull'altro,Spessore della Crosta,"0,8 su un lato e o,6 sull'altro",4,5502
Spessore della Crosta::piatti difformi uno molto fine è netto l'altro con crosta sfumata e grossa,Spessore della Crosta,"Piatti difformi, uno molto fine è netto. L'altro con crosta sfumata e grossa",4,5503
Spessore della Crosta::media,Spessore della Crosta,Media,194,5507
Spessore della Crosta::sottile,Spessore della Crosta,Sottile,160,5509
Spessore della Crosta::sottile su una faccia,Spessore della Crosta,Sottile su una faccia,4,5510
Spessore della Crosta::media 0 8,Spessore della Crosta,"Media 0,8",6,5511
Spessore della Crosta::sottili,Spessore della Crosta,Sottili,4,5512
Struttura della Pasta::grana abbastanza fine ma con striature1 strappo di 5 cm cristalli ben visibili e qualche perla di roma 5 mm,Struttura della Pasta,Grana abbastanza fine ma con Striature1 strappo di 5 cm cristalli ben visibili e qualche perla di Roma 5 mm,4,5513
Struttura della Pasta::1 spacco 3 cm buona grana dotata di finezza una certa discrezionalità delle fibre centrale,Struttura della Pasta,"1 spacco 3 cm. Buona grana, dotata di finezza. Una certa discrezionalità delle fibre centrale",4,5514
Struttura della Pasta::frattura regolare una crepa interna,Struttura della Pasta,"Frattura regolare,una crepa interna",4,5516
Struttura della Pasta::spacco,Struttura della Pasta,Spacco,4,5518
Struttura della Pasta::frattura regolare pasta all'apparenza compatta e poco grandiosa fessura,Struttura della Pasta,"Frattura regolare, pasta all'apparenza compatta e poco grandiosa, fessura",4,5519
Struttura della Pasta::strappo evidente,Struttura della Pasta,Strappo evidente,4,5520
Struttura della Pasta::frattura ok ma presenza di spacco grana non molto profilata,Struttura della Pasta,"Frattura ok ma presenza di spacco, grana non molto profilata",4,5521
Struttura della Pasta::grossa fessura grana poco formata stiratura,Struttura della Pasta,Grossa fessura grana poco formata stiratura,4,5522
Struttura della Pasta::evidente sfoglia di 4 cm frattura regolare,Struttura della Pasta,"Evidente sfoglia di 4 cm, frattura regolare",4,5523
Colore della Pasta::alone più scuro che contrasta con un piatto più chiaro 4 macchie rosate,Colore della Pasta,"Alone più scuro che contrasta con un piatto più chiaro, 4 macchie rosate",4,5524
Colore della Pasta::carico al centro nel tono del giallo,Colore della Pasta,Carico al centro nel tono del giallo,4,5525
Colore della Pasta::rosa ai bordi,Colore della Pasta,Rosa ai bordi,4,5526
Colore della Pasta::alone centrale,Colore della Pasta,Alone centrale,80,5527
Colore della Pasta::più chiaro verso l'esterno diverse macchie,Colore della Pasta,"Più chiaro verso l'esterno, diverse macchie",4,5528
Colore della Pasta::nocciola al centro,Colore della Pasta,Nocciola al centro,4,5529
Colore della Pasta::giallo chiaro con macchie rosa,Colore della Pasta,Giallo chiaro con macchie rosa,4,5530
Colore della Pasta::grande alone centrale e qualche piccola macchia rosa,Colore della Pasta,Grande alone centrale e qualche piccola macchia rosa,4,5531
Colore della Pasta::carico quasi ossidato con due macchie rosa,Colore della Pasta,Carico quasi ossidato con due macchie rosa,4,5532
Colore della Pasta::macchie rosa colore chiaro alone centrale più scuro,Colore della Pasta,Macchie rosa colore chiaro alone centrale più scuro,4,5533
Colore della Pasta::paglierino sganciato omogeneoamente distribuito,Colore della Pasta,Paglierino sganciato omogeneoamente distribuito,4,5534
Profumo::poco intenso monotono brodo di carne,Profumo,"poco intenso, monotono, brodo di carne",4,5535
Profumo::vegetalke cotto burro panna tostato leggero,Profumo,"Vegetalke cotto, burro, panna, tostato leggero",4,5536
Profumo::panna,Profumo,panna,68,5538
Profumo::premio la buona intensità' frofumi di latte cotto burro sciolto frutta secca,Profumo,"premio la buona intensità'. frofumi di latte cotto, burro sciolto. frutta secca.",4,5541
Profumo::latte cotto molto quando si attacca alla padella mou cacao non zuccherato,Profumo,"latte cotto molto, quando si attacca alla padella, mou, cacao non zuccherato,",4,5542
Profumo::chiuso leggermente ammoniaca,Profumo,chiuso leggermente ammoniaca,4,5543
Profumo::panna e burro,Profumo,panna e burro,12,5544
Profumo::formaggio fritto,Profumo,formaggio fritto;,4,5545
Sapore::sapidità' contenuta umami marcato poco piccante poco equilibrio,Sapore,"sapidità' contenuta, umami marcato, poco piccante, poco equilibrio",4,5546
Sapore::equilibrato con leggera nota piccante,Sapore,Equilibrato con leggera nota piccante,4,5547
Sapore::sapori in equilibrio con solo una piccola punta di amaro in coda sembra poco stagionato,Sapore,"sapori in equilibrio, con solo una piccola punta di amaro in coda, sembra poco stagionato",4,5548
Sapore::leggermente amaro e salato,Sapore,leggermente amaro e salato,4,5549
Sapore::leggermente salato,Sapore,leggermente salato,110,5550
Sapore::dolce poco sale,Sapore,"dolce, poco sale",4,5551
Sapore::piccante gusto pieno la consistenza facilita l adesione al palato e esalta i gusti,Sapore,Piccante. gusto pieno. la consistenza facilita l-adesione al palato e esalta i gusti,4,5552
Sapore::umami e leggero amaro finale,Sapore,umami e leggero amaro finale,4,5553
Sapore::buon bilanciamento di sale,Sapore,buon bilanciamento di sale,4,5555
Sapore::acido,Sapore,acido,72,5556
Aroma::poco caratteristico propionico e di brodo di carne tipo emmental,Aroma,"poco caratteristico, propionico e di brodo di carne, tipo emmental",4,5557
Aroma::vegatale e tostato leggero,Aroma,Vegatale e tostato leggero,4,5558
Aroma::panna e burro,Aroma,panna e burro,4,5559
Aroma::panna + leggero cotto/bruciato,Aroma,panna + leggero cotto/bruciato,4,5560
Aroma::latte cotto burro fuso,Aroma,"latte cotto, burro fuso",4,5562
Aroma::latte cotto troppo cacao caramello brodo di carne,Aroma,"latte cotto troppo, cacao, caramello, brodo di carne",4,5564
Aroma::non da grana biscotto,Aroma,non da grana biscotto,4,5565
Aroma::latte e panna,Aroma,latte e panna,8,5566
Texture::quasi gommosa poco granulosa ma solubile più\ da formaggio nostrano,Texture,"quasi gommosa, poco granulosa ma solubile, più\ da formaggio nostrano",4,5568
Texture::lascia in pocca dei residui cremoso presenza di criatalli,Texture,"lascia in pocca dei residui cremoso, presenza di criatalli",4,5569
Texture::duro e copmatto ma senza grana sembra poco stagionato solubile,Texture,"duro e copmatto ma senza grana, sembra poco stagionato, solubile",4,5570
Texture::morbido e impasta qualche cristalli lascia residuo in bocca,Texture,morbido e impasta qualche cristalli lascia residuo in bocca,4,5571
Texture::leggermente gommoso,Texture,leggermente gommoso,26,5572
Texture::morbido e cedevole impasta la bocca cristalli presenti,Texture,morbido e cedevole. impasta la bocca. cristalli presenti,4,5574
Texture::compatto adesivo poco solubile e poco friabile poco granuloso pochi cristalli,Texture,"compatto, adesivo, poco solubile e poco friabile, poco granuloso, pochi cristalli",4,5575
Texture::grana assente tenerissimo,Texture,grana assente tenerissimo,4,5576
Texture::presenza di cristalli buona solubilità,Texture,"presenza di cristalli, buona solubilità",4,5577
Texture::pochi cristalli molto pastoso,Texture,pochi cristalli;molto pastoso,4,5578
Spessore della Crosta::12 cm ma sfuma su una base scura,Spessore della Crosta,12 cm ma sfuma su una base scura,4,5579
Spessore della Crosta::limite sfumato ma sempre sopra il cm,Spessore della Crosta,Limite sfumato ma sempre sopra il cm,4,5580
Spessore della Crosta::0 8 cm molto fine su i piatti spessa sugli scalzi,Spessore della Crosta,"0,8 cm molto fine su I piatti. Spessa sugli scalzi",4,5584
Spessore della Crosta::molto sottile su una faccia,Spessore della Crosta,Molto sottile su una faccia,4,5587
Spessore della Crosta::negli scalzi grossa molto fine nei piatti,Spessore della Crosta,Negli scalzi grossa molto fine nei piatti,4,5588
Struttura della Pasta::pasta stirata con microocchiature centrali con frattura arrotondata,Struttura della Pasta,Pasta stirata con microocchiature centrali con frattura arrotondata,4,5590
Struttura della Pasta::nettamente stirato al centro occhiatura centrale anche di una certa dimensione frattura buona,Struttura della Pasta,Nettamente stirato al centro. Occhiatura centrale anche di una certa dimensione. Frattura buona,4,5591
Struttura della Pasta::stirata,Struttura della Pasta,Stirata,54,5592
Struttura della Pasta::frattura irregolare microocchiatura localizzata,Struttura della Pasta,"Frattura irregolare,Microocchiatura localizzata",4,5593
Struttura della Pasta::microocchiatura zone stirate,Struttura della Pasta,"Microocchiatura, zone stirate",4,5594
Struttura della Pasta::stirata soprattutto al centro in una zona presente microocchiatura,Struttura della Pasta,Stirata soprattutto al centro. In una zona presente Microocchiatura,4,5595
Struttura della Pasta::pasta stirata in centro leggera occhiatura frattura abbastanza regolare,Struttura della Pasta,"Pasta stirata in centro, leggera occhiatura, frattura abbastanza regolare",4,5596
Struttura della Pasta::grande area stirata e con bocciatura non trascurabile,Struttura della Pasta,Grande area stirata e con bocciatura non trascurabile,4,5597
Struttura della Pasta::visibilmente stirata con presenza di micro occhiatura a tratti,Struttura della Pasta,Visibilmente stirata con presenza di micro occhiatura a tratti,4,5598
Struttura della Pasta::nella parte centrale assente fortemente stirata tanta occhiatura anche grossa nella parte centrale,Struttura della Pasta,Nella parte centrale assente fortemente stirata tanta occhiatura anche grossa nella parte centrale,4,5599
Struttura della Pasta::frattura irregolare impugnatura evidente centralmente bocciatura media grosda,Struttura della Pasta,Frattura irregolare impugnatura evidente centralmente bocciatura media grosda,4,5600
Colore della Pasta::molto carico grigiastro con ragionevoli scuro e chiazza allungata rodata sotto 1 piatto di 10 15 cm,Colore della Pasta,Molto carico grigiastro con ragionevoli scuro e chiazza allungata rodata sotto 1 piatto di 10 15 cm,4,5601
Colore della Pasta::carico saturo con zone più chiare verso gli scalzi,Colore della Pasta,"Carico, saturo, con zone più chiare verso gli scalzi",4,5602
Colore della Pasta::irregolare,Colore della Pasta,Irregolare,8,5603
Colore della Pasta::abbastanza omogeneo ma carico una macchia,Colore della Pasta,"Abbastanza omogeneo ma carico, una macchia",4,5605
Colore della Pasta::colore bruno quasi nocciola ci sono delle zone rosate,Colore della Pasta,Colore bruno quasi nocciola. Ci sono delle zone rosate,4,5606
Colore della Pasta::giall carico con alone rosa,Colore della Pasta,Giall carico con alone rosa,4,5607
Colore della Pasta::macchie rosa non piccole,Colore della Pasta,Macchie rosa non piccole,4,5608
Colore della Pasta::eccessivamente carico con evidente macchie rosa,Colore della Pasta,Eccessivamente carico con evidente macchie rosa,4,5609
Colore della Pasta::molto carico non tipico,Colore della Pasta,Molto carico non tipico,4,5610
Colore della Pasta::omogeneamente paglierino carico ambrato,Colore della Pasta,Omogeneamente paglierino carico ambrato,4,5611
Profumo::poco intenso burro fuso nota fermentata brodo,Profumo,"poco intenso, burro fuso, nota fermentata, brodo",4,5766
Profumo::latto cotto burro tostato,Profumo,Latto cotto burro tostato,4,5767
Profumo::burro burro fuso e crosta leggeri,Profumo,"burro, burro fuso e crosta, leggeri",4,5768
Profumo::latte/panna cotto,Profumo,"latte/panna , cotto",4,5769
Profumo::note floreali su base latte panna e burro freschi lieve tostatura intensità' buona,Profumo,"note floreali su base latte, panna e burro freschi. lieve tostatura. intensità' buona",4,5772
Profumo::in più di un pezzo sentore di marcio fermentato cattico putrido,Profumo,"in più di un pezzo sentore di marcio, fermentato cattico, putrido",4,5773
Profumo::positivo ma poco intenso,Profumo,positivo ma poco intenso,4,5774
Profumo::latte,Profumo,latte,20,5775
Profumo::latte fresco panna brodo vegetale,Profumo,latte fresco;panna;brodo vegetale,4,5776
Sapore::sapidità' media piccantezza marcata buon umami,Sapore,"sapidità' media, piccantezza marcata, buon umami",4,5777
Sapore::saporito salato e uamai adeguati piccante praticamente assente,Sapore,"saporito, salato e uamai adeguati, piccante praticamente assente",4,5779
Sapore::salato,Sapore,salato,248,5780
Sapore::non direi dolce ma il resto equilibrato senza umami,Sapore,"non direi dolce, ma il resto equilibrato, senza umami",4,5783
Sapore::leggermente prevalenti salato e umami,Sapore,leggermente prevalenti salato e umami,4,5784
Sapore::buon bilanciamento sentore di formaggio cotto,Sapore,"buon bilanciamento, sentore di formaggio cotto",4,5786
Aroma::burro fuso panna brodo di carne equilibrato,Aroma,"burro fuso, panna, brodo di carne, equilibrato",4,5788
Aroma::latto cotto burrro panna e tostato finale,Aroma,Latto cotto burrro panna e tostato finale,4,5789
Aroma::aroma di formaggio cotto e burro fuso leggeri e non fastidiosi,Aroma,"aroma di formaggio cotto e burro fuso, leggeri e non fastidiosi",4,5790
Aroma::animale/paglia/letame,Aroma,animale/paglia/letame,4,5791
Aroma::lattici cotti brodo animale,Aroma,"lattici cotti, brodo animale",4,5795
Aroma::latte,Aroma,latte,16,5798
Texture::umida cedevole morbida poco granulosa poco solubile,Texture,"umida, cedevole, morbida, poco granulosa, poco solubile",4,5799
Texture::lascia pochi frammenti,Texture,lascia pochi frammenti,4,5800
Texture::moderata durezza friabile granuloso solubile cristalli percepibili,Texture,"moderata durezza, friabile, granuloso, solubile, cristalli percepibili",4,5801
Texture::asciutto granuloso cristalli abbastanza solubile,Texture,asciutto granuloso cristalli abbastanza solubile,4,5802
Texture::friabile ma non asciutto microcristalli fini e presenti struttura fine,Texture,friabile ma non asciutto. microcristalli fini e presenti. struttura fine,4,5805
Texture::umido e solubile,Texture,umido e solubile,4,5806
Texture::un poco più\ presente la grana,Texture,un poco- più\ presente la grana,4,5807
Texture::cristalli presenti microstruttura tendente all inesistente,Texture,"cristalli presenti, microstruttura tendente all-inesistente",4,5808
Texture::pastoso,Texture,pastoso,74,5809
Spessore della Crosta::1 cm ma di colore molto contrastato,Spessore della Crosta,1 cm ma di colore molto contrastato,4,5810
Spessore della Crosta::1 piatto sul 12 mm o più l'altro più sottile,Spessore della Crosta,"1 piatto sul 12 mm o più, l'altro più sottile",4,5811
Spessore della Crosta::omogenea,Spessore della Crosta,Omogenea,12,5812
Spessore della Crosta::1 1 cm,Spessore della Crosta,"1,1 cm",24,5815
Spessore della Crosta::dal colore marcato meno spessa su un lato,Spessore della Crosta,"Dal colore marcato, meno spessa su un lato",4,5818
Spessore della Crosta::molto evidente,Spessore della Crosta,Molto evidente,4,5819
Struttura della Pasta::frattura con profondo avvallamento e striature che si dipartono da un piatto,Struttura della Pasta,Frattura con profondo avvallamento e striature che si dipartono da un piatto,4,5821
Struttura della Pasta::grana fine anche omogenea peccato la frattura irregolare,Struttura della Pasta,"Grana fine, anche omogenea. Peccato la frattura irregolare",4,5822
Struttura della Pasta::granulosa,Struttura della Pasta,Granulosa,32,5823
Struttura della Pasta::granulosa fine,Struttura della Pasta,Granulosa fine,8,5824
Struttura della Pasta::zone stirata microocchiatura,Struttura della Pasta,"Zone stirata, Microocchiatura",4,5825
Struttura della Pasta::grana omogenea grossolana,Struttura della Pasta,"Grana omogenea, grossolana",4,5826
Struttura della Pasta::frattura abbastanza regolare grana visibile nessuna occhiatura,Struttura della Pasta,"Frattura abbastanza regolare, grana visibile, nessuna occhiatura,",4,5827
Struttura della Pasta::particolare frattura su un piatto grana evidente,Struttura della Pasta,"Particolare frattura su un piatto, grana evidente",4,5828
Struttura della Pasta::frattura non bellissima ma pasta granulosa con grana abbastanza definita,Struttura della Pasta,"Frattura non bellissima ma pasta granulosa, con grana abbastanza definita",4,5829
Struttura della Pasta::grana bella frattura non del tutto regolare ma assenza di difetti,Struttura della Pasta,Grana Bella frattura non del tutto regolare ma assenza di difetti,4,5830
Struttura della Pasta::frattura integolare,Struttura della Pasta,Frattura integolare,4,5831
Colore della Pasta::alone leggero on corona rodata e una macchia rosata,Colore della Pasta,Alone leggero on corona rodata e una macchia rosata,4,5832
Colore della Pasta::al centro e verso 1 piatto più carico,Colore della Pasta,Al centro e verso 1 piatto più carico,4,5833
Colore della Pasta::giallina,Colore della Pasta,Giallina,8,5834
Colore della Pasta::giallo carico,Colore della Pasta,Giallo carico,56,5835
Colore della Pasta::co ore un poco' carico ma omogeneo positivo,Colore della Pasta,Co!ore un poco' carico ma omogeneo. Positivo,4,5837
Colore della Pasta::giallo intenso uniforme,Colore della Pasta,Giallo intenso uniforme,8,5838
Colore della Pasta::alone nocciola dove rottura con fossa,Colore della Pasta,Alone nocciola dove rottura con fossa,4,5839
Colore della Pasta::carico con lieve alone rosato,Colore della Pasta,Carico con lieve alone rosato,4,5840
Colore della Pasta::alone più scuro centrale,Colore della Pasta,Alone più scuro centrale,4,5841
Colore della Pasta::un piatto più chiaro,Colore della Pasta,Un piatto più chiaro,12,5842
Profumo::mediamente intenso latte bruciato lieve pungenza,Profumo,"mediamente intenso, latte bruciato, lieve pungenza",4,5843
Profumo::panna latte cotto tostato con un poco di fruttato,Profumo,"Panna, latte cotto, tostato, con un poco di fruttato",4,5844
Profumo::burro fuso leggero sentore di affumicato,Profumo,"burro fuso, leggero sentore di affumicato",4,5848
